runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100001,c_6283_b_6769_d_31,12763,1,1,t_214013_b_6769_tn_0,2436128,t_213948_b_6769_tn_0,2436128
100002,c_6283_b_6769_d_31,12764,2,1,t_214014_b_6769_tn_0,2436128,t_213931_b_6769_tn_0,2436128
100003,c_6283_b_6769_d_31,12765,3,1,t_213892_b_6769_tn_0,2436128,t_213949_b_6769_tn_0,2436128
100004,c_6283_b_6769_d_31,12766,4,1,t_213893_b_6769_tn_0,2436128,t_214025_b_6769_tn_0,2436128
100005,c_6283_b_6769_d_31,12769,5,1,t_213895_b_6769_tn_0,2435880,t_213889_b_6769_tn_0,2435880
100006,c_6283_b_6769_d_31,12770,6,1,t_213890_b_6769_tn_0,2435880,t_213894_b_6769_tn_0,2435880
100007,c_6283_b_6769_d_31,12771,7,1,t_213832_b_6769_tn_0,2436128,t_213832_b_6769_tn_0,2436128
100008,c_6283_b_6769_d_31,12772,8,1,t_213833_b_6769_tn_0,2436128,t_213833_b_6769_tn_0,2436128
100009,c_6283_b_6769_d_31,12773,9,1,t_213831_b_6769_tn_0,2436128,t_213831_b_6769_tn_0,2436128
100010,c_6283_b_6769_d_31,12774,10,1,t_213854_b_6769_tn_1,2436128,t_214077_b_6769_tn_15,2436128
100011,c_6283_b_6769_d_31,12775,11,1,t_213896_b_6769_tn_0,2435880,t_312424_b_6769_tn_0,2435880
100012,c_6283_b_6769_d_31,12776,12,1,t_312425_b_6769_tn_0,2435880,t_213891_b_6769_tn_0,2435880
100013,c_6283_b_6769_d_31,12777,13,1,t_213947_b_6769_tn_0,2436114,t_213951_b_6769_tn_11,2436128
100014,c_6283_b_6769_d_31,12778,14,1,t_214050_b_6769_tn_1,2436128,t_213962_b_6769_tn_11,2436128
100015,c_6283_b_6769_d_31,12779,15,1,t_214061_b_6769_tn_1,2436128,t_213973_b_6769_tn_8,2436128
100016,c_6283_b_6769_d_31,12780,16,1,t_214069_b_6769_tn_1,2436128,t_213981_b_6769_tn_3,2436128
100017,c_6283_b_6769_d_31,12783,17,1,t_213928_b_6769_tn_0,2436128,t_213926_b_6769_tn_0,2436128
100018,c_6283_b_6769_d_31,12784,18,1,t_213929_b_6769_tn_0,2436128,t_213929_b_6769_tn_0,2436128
100019,c_6283_b_6769_d_31,12785,19,1,t_213927_b_6769_tn_0,2436128,t_213930_b_6769_tn_0,2436128
100020,c_6283_b_6769_d_31,12786,20,1,t_214076_b_6769_tn_0,2436128,t_213942_b_6769_tn_15,2436128
100021,c_6283_b_6769_d_31,12789,21,1,t_213834_b_6769_tn_1,2436128,t_213834_b_6769_tn_15,2436128
100022,c_6283_b_6769_d_31,12790,22,1,t_213849_b_6769_tn_0,2436128,t_213911_b_6769_tn_15,2436128
100023,c_6283_b_6769_d_31,12791,23,1,t_213983_b_6769_tn_1,2436128,t_213983_b_6769_tn_30,2436128
100024,c_6283_b_6769_d_31,12792,24,1,t_213879_b_6769_tn_1,2436128,t_213879_b_6769_tn_10,2436128
100025,c_6283_b_6769_d_32,12767,25,1,t_226594_b_6769_tn_0,2436128,t_226595_b_6769_tn_0,2436128
100026,c_6283_b_6769_d_32,12768,26,1,t_226593_b_6769_tn_0,2436128,t_226596_b_6769_tn_0,2436128
100027,c_6283_b_6769_d_32,12774,27,1,t_226538_b_6769_tn_1,2436128,t_226538_b_6769_tn_8,2436128
100028,c_6283_b_6769_d_32,12781,28,1,t_226517_b_6769_tn_1,2436128,t_226523_b_6769_tn_7,2436128
100029,c_6283_b_6769_d_32,12782,29,1,t_226525_b_6769_tn_1,2436128,t_226512_b_6769_tn_8,2436128
100030,c_6283_b_6769_d_32,12786,30,1,t_226582_b_6769_tn_1,2436128,t_226582_b_6769_tn_8,2436128
100031,c_6283_b_6769_d_32,12789,31,1,t_226562_b_6769_tn_1,2436128,t_226562_b_6769_tn_7,2436128
100032,c_6283_b_6769_d_32,12790,32,1,t_226573_b_6769_tn_1,2436128,t_226573_b_6769_tn_8,2436128
100033,c_6283_b_6769_d_32,12791,33,1,t_226613_b_6769_tn_1,2436128,t_226613_b_6769_tn_15,2436128
100034,c_6283_b_none_d_32,12767,34,1,t_226594_b_none_tn_0,2436128,t_226595_b_none_tn_0,2436128
100035,c_6283_b_none_d_32,12768,35,1,t_226593_b_none_tn_0,2436128,t_226596_b_none_tn_0,2436128
100036,c_6283_b_none_d_32,12774,36,1,t_226538_b_none_tn_1,2436128,t_226538_b_none_tn_8,2436128
100037,c_6283_b_none_d_32,12781,37,1,t_226517_b_none_tn_1,2436128,t_226523_b_none_tn_7,2436128
100038,c_6283_b_none_d_32,12782,38,1,t_226525_b_none_tn_1,2436128,t_226512_b_none_tn_8,2436128
100039,c_6283_b_none_d_32,12786,39,1,t_226582_b_none_tn_1,2436128,t_226582_b_none_tn_8,2436128
100040,c_6283_b_none_d_32,12789,40,1,t_226562_b_none_tn_1,2436128,t_226562_b_none_tn_7,2436128
100041,c_6283_b_none_d_32,12790,41,1,t_226573_b_none_tn_1,2436128,t_226573_b_none_tn_8,2436128
100042,c_6283_b_none_d_32,12791,42,1,t_226613_b_none_tn_1,2436128,t_226613_b_none_tn_15,2436128
