stop_id,stop_code,stop_name,stop_lat,stop_lon
22,"2143","Hume & Echo Lane",36.305654,-119.660257
23,"2144","Hume & Butternut",36.305650,-119.662909
40,"2149","Hanford Armona Road & Leslie Lane",36.313358,-119.657141
50,"2131","Front across Club Armona",36.315555,-119.709865
51,"1010","Front @ Club Armona",36.315743,-119.709624
59,"2071","6th & Irwin",36.325357,-119.646101
65,"2002","8th @ Aria Community Health",36.326990,-119.650017
76,"2024","10th @ Carwash",36.330672,-119.636914
87,"2008","Douty @ Hanford High School",36.344129,-119.645914
92,"2010","Douty & Cortner",36.352136,-119.645947
95,"2040","Douty & Fargo",36.356971,-119.646148
100,"1000","KART Transfer Center",36.326104,-119.652649
104,"1048","Skyline & Union",36.006729,-120.123837
105,"1042","San Joaquin & Union",36.007173,-120.123958
109,"1002","Lacey @ Carl's Jr.",36.328169,-119.657373
110,"1003","Lacey @ Government Center",36.328173,-119.663520
111,"1004","Lacey & Mall Drive",36.328171,-119.668850
112,"1005","Lacey @ Centennial Plaza",36.328177,-119.674125
113,"1006","Lacey @ Heritage Park Senior Center",36.328177,-119.678532
114,"1007","Centennial @ Walmart",36.322797,-119.675269
115,"1008","14th @ Armona Fire Station",36.309788,-119.708992
116,"1009","14th @ Armona Senior Center",36.314244,-119.708926
118,"1012","Hanford Armona Road & 16th Westbound",36.313532,-119.745318
119,"1013","Hanford Armona Road across Westberry Apartments",36.313584,-119.765475
122,"1014","Hanford Armona Road & Belinda",36.313579,-119.770747
123,"1016","Hanford Armona Road @ Pioneer Square",36.313545,-119.778846
124,"1017","18th @ Pizza Hut",36.312080,-119.780924
125,"1018","18th & D Street",36.302035,-119.780902
126,"1019","Bush & Follett",36.298365,-119.782952
127,"1020","Bush @ City Park",36.298357,-119.785476
128,"1021","Bush & Olive",36.298364,-119.791068
130,"1022","Bush @ Kings River Apartments",36.298363,-119.805760
131,"1023","Bush & Belle Haven",36.296329,-119.812284
135,"1025","Bush & Belle Haven",36.296144,-119.812224
136,"1026","1st & Railroad",36.193062,-119.824203
137,"1028","1st & Cross",36.193058,-119.822170
138,"1030","Empire & Main",36.189973,-119.820617
139,"1032","Main @ Post Office",36.189660,-119.822825
140,"1033","Main @ Grain Mill",36.189488,-119.825729
141,"1041","Milham & Becky Pease",36.010322,-119.960379
142,"1035","Milham @ Housing Authority",36.010340,-119.962772
143,"1036","3rd & Milham",36.010079,-119.965363
144,"1037","3rd & General Petroleum",36.008315,-119.965386
145,"1038","General Petroleum & 5th",36.008199,-119.964405
146,"1039","General Petroleum @ Elementary School",36.008190,-119.962198
148,"1040","Becky Pease & Standard Oil",36.008854,-119.960156
151,"1043","San Joaquin & 5th",36.007207,-120.131158
152,"1044","San Joaquin & 2nd",36.007290,-120.136069
153,"1045","San Joaquin & Thurston",36.007417,-120.145160
154,"1046","Skyline @  Circle K",36.002941,-120.131595
155,"1047","Skyline @ State Supermarket",36.004660,-120.128068
156,"1034","Main @ Grain Mill",36.189360,-119.824708
159,"1029","1st & Empire",36.193149,-119.820906
160,"1027","1st & Railroad",36.193153,-119.824047
162,"1200","19th & Bush",36.298431,-119.798735
163,"2116","19th @ Lemoore Soccer Complex",36.304244,-119.798677
169,"1024","West Hills College",36.292255,-119.823125
171,"2129","Hanford Armona Road & 15th Eastbound",36.313446,-119.726402
174,"2133","Centennial @ Target",36.323029,-119.676086
184,"2028","10th & Grangeville",36.343200,-119.636844
187,"2041","Douty & Cortner",36.352074,-119.646153
191,"2046","Douty & 11th Street",36.331207,-119.646123
196,"2132","14th & Hanford Armona Road",36.313312,-119.709109
200,"2176","11th @ Castle Square",36.318314,-119.655166
201,"2139","11th & Washington",36.315796,-119.655146
204,"2142","Hume & 11th",36.305637,-119.655413
205,"2145","12th & Freestone",36.309626,-119.672823
211,"2154","11th across Cost Less",36.323412,-119.654986
213,"2151","Jones @ Amberwood Apartments",36.310624,-119.652807
230,"2004","Douty @ Library",36.329497,-119.645938
231,"2005","Douty & Ivy",36.332040,-119.645950
232,"2006","Douty@ Community Care",36.335902,-119.645945
234,"2009","Douty & Leland Way",36.349669,-119.645943
235,"2012","Aspen & Fargo",36.357673,-119.650973
236,"2013","Northstar @ Remington",36.360061,-119.654201
239,"2017","11th & Neville",36.340664,-119.655239
240,"2018","11th @ KCAO",36.336501,-119.655255
242,"2049","11th @ Railroad Tracks",36.331179,-119.655017
247,"2053","Florinda & Harris",36.334840,-119.644723
248,"2054","Florinda & Green",36.334836,-119.640993
249,"2056","Florinda & Whitney Drive",36.334997,-119.631167
250,"2057","Lassen Drive & Florinda",36.335585,-119.627406
251,"2058","Lassen Drive & Fernot Way",36.338019,-119.626877
254,"2061","9 1/4 @ View Road Apartments",36.330847,-119.623548
258,"2065","Lacey @ Smart & Final",36.328110,-119.633646
263,"2070","7th & Redington",36.326293,-119.648169
273,"2025","10th & Myrtle",36.332670,-119.636855
274,"2026","10th @ Fraternal Hall",36.335814,-119.636816
276,"2027","10th & Malone",36.339222,-119.636836
279,"2044","Douty & Malone",36.339964,-119.646119
280,"2047","Douty @ Civic Center",36.328669,-119.646124
286,"2080","6th & Eastview Drive",36.303208,-119.628512
290,"2084","10th & Home",36.304637,-119.636870
292,"2086","Hanford Armona Road & Harris",36.313479,-119.642847
293,"2087","Hanford Armona Road & Irwin",36.313487,-119.645253
295,"2089","Douty & Lang",36.319160,-119.644195
296,"2090","Douty & 2nd",36.321773,-119.644446
299,"2155","7th @ Adventist Hospital",36.325459,-119.668065
